127.0.0.1 - - [10/Mar/2024:11:28:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:28:48 +0530] "GET /ProductManagementApp/app-product.html HTTP/1.1" 200 3970
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:28:48 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:28:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:29:47 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 10487547
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:30:27 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:30:37 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=2 HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:30:46 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:33:09 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 10487547
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:33:24 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 10487547
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:33:27 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 10487547
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:33:36 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:40:56 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 500 2808
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:40:58 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 500 2808
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:41:37 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 500 2799
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:41:44 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:41:44 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:42:13 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:42:13 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:42:17 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 500 2799
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:46:02 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:46:34 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:46:34 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:47:06 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:47:06 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:47:32 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:47:33 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:47:38 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 500 2377
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:48:19 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:48:19 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:48:34 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:48:34 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:49:05 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:49:05 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:50:15 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 4003
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:50:15 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:50:50 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 4003
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:50:50 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:50:53 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 500 2377
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:51:47 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 10487547
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:53:49 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 10487893
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:53:54 +0530] "GET /ProductManagementApp/add-product.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:55:04 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 10487929
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:55:13 +0530] "GET /ProductManagementApp/add-product.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:56:59 +0530] "GET /ProductManagementApp/add-product.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:57:03 +0530] "GET /ProductManagementApp/add-product.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:57:05 +0530] "GET /ProductManagementApp/add-product.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:57:08 +0530] "GET /ProductManagementApp/add-product.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:57:09 +0530] "GET /ProductManagementApp/add-product.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:58:04 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=2 HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:58:20 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:59:45 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:59:51 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 6798787
0:0:0:0:0:0:0:1 - - [10/Mar/2024:11:59:56 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=2 HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:00:06 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 8198188
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:00:10 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:00:18 +0530] "GET /ProductManagementApp/add-product.html HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:01:05 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:01:05 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:01:10 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 8198131
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:01:15 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:02:19 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:02:24 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:09:56 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 8198131
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:10:01 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:11:52 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 8198131
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:11:55 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:12:33 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:12:42 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:12:42 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:12:43 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 8198131
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:12:46 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 500 1502
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:13:50 +0530] "GET /ProductManagementApp/UpdateProductServlet?proId=2 HTTP/1.1" 500 1502
0:0:0:0:0:0:0:1 - - [10/Mar/2024:12:28:21 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 8198131
